Indicator,Vehicle Actvity Number,Company Code,Fiscal Year,Reverse Date,Vehicle Code,Job Code,Target Alokasi Biaya,Location Code,Vehicle Date,Vehicle Time,HM/KM,Unit,UoM,Reference,Remarks,Plant,Cancelled/Reversed,Operator,Helper 1,Helper 2,Measurement document,Document Number,Nomor SPBS,Tgl Angkut,Antar Kebun,Destination Plant,Created by,Created on,Changed by,Changed on
,0100281957,PALM,2026,6/1/2026,2000021355,14802,FF,100,6/1/2026,14.16.17,32.00,"3,860",KG,Angkut TBS Afd01 Blok 100,Angkut TBS Afd01 Ke Pakem,5E09,,13004752,0,0,10208850,2321098174,PB25/5E09/AFD02/1780286498730P,5/1/2026,,,MK091501,6/2/2026,MK091501,6/2/2026
,0100281958,PALM,2026,6/1/2026,2000021355,14802,FF,203,6/1/2026,14.22.55,34.00,"3,100",KG,Angkut TBS Afd02 Blok 203,Angkut TBS Afd02 Ke Pakem,5E09,,13004752,0,0,10209161,2321098175,PB25/5E09/AFD02/1780286498730P,5/1/2026,,,MK091501,6/2/2026,MK091501,6/2/2026
,0100281959,PALM,2026,6/1/2026,2000021355,14802,FF,419,6/1/2026,17.58.23,14.00,"3,380",KG,Angkut TBS Afd04 Blok 419,Angkut TBS Afd04 Ke Pakem,5E09,,13004752,0,0,10209162,2321135476,PB25/5E09/AFD04/1780288704368P,5/1/2026,,,MK091501,6/2/2026,MK091501,6/2/2026
,0100281960,PALM,2026,6/1/2026,2000021355,14802,FF,609,6/1/2026,18.12.07,16.00,"1,520",KG,Angkut TBS Afd06 Blok 609,Angkut TBS Afd06 Ke Pakem,5E09,,13004752,0,0,10209163,2321135477,PB25/5E09/AFD04/1780288704368P,5/1/2026,,,MK091501,6/2/2026,MK091501,6/2/2026
,0100281961,PALM,2026,6/1/2026,2000014198,,CC,5E01BT15KS,6/1/2026,06.00.00,1.00,0,KM,1,Libur Kerja,5E01,,0,0,0,10209303,2321154905,Hari Lahir Pancasila,6/1/2026,,,MK011504,6/2/2026,MK011504,6/2/2026
,0100281962,PALM,2026,6/1/2026,2000014198,,CC,5E01BT15KS,6/1/2026,16.30.00,1.00,0,KM,1,Libur Kerja,5E01,,0,0,0,10209304,2321154906,Hari Lahir Pancasila,6/1/2026,,,MK011504,6/2/2026,MK011504,6/2/2026
,0100281963,PALM,2026,6/2/2026,2000014198,,CC,5E01BT15KS,6/2/2026,06.00.00,24.00,0,KM,1,Dinas Ke  AFD I -  AFD VI,5E01,,0,0,0,10251048,2322424048,I  -   VIII,6/2/2026,,,MK011504,6/2/2026,MK011504,6/20/2026
,0100281964,PALM,2026,6/2/2026,2000014198,,CC,5E01BT15KS,6/2/2026,16.30.00,24.00,0,KM,1,Dinas Ke  AFD I -  AFD VI,5E01,,0,0,0,10251049,2322424049,I  -   VIII,6/2/2026,,,MK011504,6/2/2026,MK011504,6/20/2026
,0100281965,PALM,2026,6/1/2026,2000021468,,CC,5F22STAS14,6/1/2026,08.00.00,32.00,"47,980",KG,,ANGKUT TANKOS,5F22,,13003957,0,0,10209073,2321159994,,,,,MP221503,6/3/2026,MP221503,6/3/2026
,0100281966,PALM,2026,6/2/2026,2000021468,,CC,5F22STAS14,6/2/2026,08.00.00,28.00,"41,170",KG,,ANGKUT TANKOS,5F22,,13003957,0,0,10209074,2321159995,,,,,MP221503,6/3/2026,MP221503,6/3/2026
