 ,,,,,,,,,,,,,,,
REKAPITULIASI BA EQUIPMENT,,,,,,,,,,,,,,,
PER 30 DES 2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
MENURUT BA EQUIPMENT,,,,,,,,,,168,,,,,
NO,UNIT/KERJA,NAMA EQUIPMENT,NOMOR EQUIPMENT,REVISI COST CENTER,Ket CC,Ket VHC,STATUS KENDARAAN,KEPEMILIKAN,Total,,,NO,UNIT,CODE,VHC
1,Gunung Meliau,Mobil Manager KB 8347 WB,2000014198,5E01CAR001,,Aktif,Baik,Sewa,,CAR,5E01,1,KEBUN GUNUNG MELIAU,"5,00E+01",11
,,Vibrator Roller 1,2000014800,5E01COM001,Mati,Aktif,Rusak,Inventaris,,COM,5E01,2,KEBUN GUNUNG MAS,"5,00E+02",9
,,Dump Truck KB 8622 AY,2000021298,5E01DTR003,,Aktif,Baik,Sewa,,DTR,5E01,3,KEBUN SUNGAI DEKAN,"5,00E+03",14
,,Dump Truck KB 8592 AY,2000021301,5E01DTR004,,Aktif,Rusak,Sewa,,DTR,5E01,4,KEBUN RIMBA BELIAN,"5,00E+04",11
,,Road Grader 1,2000014783,5E01GRA001,,Aktif,Baik,Inventaris,,GRA,5E01,5,KEBUN SINTANG,"5,00E+06",1
,,Quick Truck 02,2000021492,5E01QUT002,,Aktif,Baik,Sewa,,QUT,5E01,6,KEBUN NGABANG,"5,00E+07",20
,,Quick Truck 03,2000021493,5E01QUT003,,Aktif,Rusak,Sewa,,QUT,5E01,7,KEBUN PARINDU,"5,00E+08",15
,,Quick Truck 04,2000021494,5E01QUT004,,Aktif,Baik,Sewa,,QUT,5E01,8,KEBUN KEMBAYAN,"5,00E+09",9
,,Quick Truck 05,2000021495,5E01QUT005,,Aktif,Rusak,Sewa,,QUT,5E01,9,KEBUN DANAU SALAK,"5,00E+11",8
,,Quick Truck 06,2000021496,5E01QUT006,,Aktif,Baik,Sewa,,QUT,5E01,10,KEBUN KUMAI KARET,"5,00E+12",3
,,Kioti Tractor,2000015098,5E01TRA001,,Aktif,Baik,Inventaris,,TRA,5E01,11,KEBUN BATULICIN,"5,00E+13",7
,,Wheel Dump,2000023244,5E01WLD001,,Aktif,Baik,Inventaris,,,,,,,
