Equipment,Description,Functional Loc,FLoc Description,Cost Center,CC Description,Plant,Total,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1000180528,HORIZONTAL STERILIZER NO. 1,PALM05F08000050000300001,HORIZONTAL STERILIZER NO. 1,5F08STAS03,Sterilizer,5F08,"408,5",13,15,14,0,0,20,17,18,18,20,21,0,17,"13,5",20,18,20,16,0,17,17,18,0,18,17,0,19,20,0,22,
1000180544,HORIZONTAL STERILIZER NO. 2,PALM05F08000050000300002,HORIZONTAL STERILIZER NO. 2,5F08STAS03,Sterilizer,5F08,"408,5",13,15,14,0,0,20,17,18,18,20,21,0,17,"13,5",20,18,20,16,0,17,17,18,0,18,17,0,19,20,0,22,
1000180560,HORIZONTAL STERILIZER NO. 3,PALM05F08000050000300003,HORIZONTAL STERILIZER NO. 3,5F08STAS03,Sterilizer,5F08,"408,5",13,15,14,0,0,20,17,18,18,20,21,0,17,"13,5",20,18,20,16,0,17,17,18,0,18,17,0,19,20,0,22,
1000180575,HORIZONTAL STERILIZER NO. 4,PALM05F08000050000300004,HORIZONTAL STERILIZER NO. 4,5F08STAS03,Sterilizer,5F08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1000182834,DIGESTER NO. 1,PALM05F08000050000600013,DIGESTER NO. 1,5F08STAS06,Pressan,5F08,234,0,0,0,0,0,15,0,0,0,0,0,0,0,0,20,18,20,16,0,17,17,18,0,15,17,0,19,20,0,22,
1000182868,DIGESTER NO. 2,PALM05F08000050000600014,DIGESTER NO. 2,5F08STAS06,Pressan,5F08,"171,5",13,15,14,0,0,5,17,18,18,20,21,0,17,"13,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1000182900,DIGESTER NO. 3,PALM05F08000050000600015,DIGESTER NO. 3,5F08STAS06,Pressan,5F08,"386,5",13,15,14,0,0,20,17,18,18,20,21,0,17,"13,5",20,18,20,16,0,17,17,18,0,18,17,0,19,20,0,0,
1000182932,DIGESTER NO. 4,PALM05F08000050000600016,DIGESTER NO. 4,5F08STAS06,Pressan,5F08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1000182963,DIGESTER NO. 5,PALM05F08000050000600017,DIGESTER NO. 5,5F08STAS06,Pressan,5F08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1000182995,DIGESTER NO. 6,PALM05F08000050000600018,DIGESTER NO. 6,5F08STAS06,Pressan,5F08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
